idea_id,工程,状況,失敗,軸,一次知見,出典,X使用日,Threads使用日,反応
choose-reason-over-price,決める,誕生日,記憶に残らない,1,値段で悩む時間より「なぜそれを選んだか」を1行で言えるかのほうが効く。同じ1万円でも理由があるものは覚えられる,X原稿バンク1,,,
wrap-brand-paper-bag,包む・仕込む,通年,バレる,1,バレる原因は中身より袋。ブランドの紙袋をそのまま持ち歩いた時点で察されている,X原稿バンク2,2026-08-31,,
restaurant-three-questions,買う・予約する,交際記念日,場所が合わない,2,写真で選ぶ前に聞くのは3つ。滞在時間の目安、持ち込みの可否、席の指定ができるか,X原稿バンク3,,2026-08-31,
give-after-dinner,渡す,交際記念日,記憶に残らない,1,渡すのは食事の後。先に渡すとそのあとの時間が全部プレゼントの余韻に上書きされる,X原稿バンク4,,,
nothing-i-want,決める,通年,使われない,1,「欲しいものが無い」は自分では買わないものが分からないという意味。探すのは欲しいものではなく自分では買わないもの,X原稿バンク5,2026-08-31,,
xmas-restaurant-november,買う・予約する,クリスマス,間に合わない,2,クリスマスの店は11月上旬に埋まり始める。プレゼントは後からでも間に合うが席は戻ってこない,X原稿バンク6,,,
card-write-day-before,包む・仕込む,通年,記憶に残らない,1,メッセージカードを当日に書くと必ず雑になる。前日に選んだ理由だけ1行書いておく,X原稿バンク7,,,
plate-15-characters,買う・予約する,誕生日,崩れる,2,サプライズプレートが崩れる原因はほぼ文字数。15文字を超えると皿に収まらず写真に写らない,X原稿バンク8,2026-08-31,,
single-room-capacity,選ぶ,一人暮らし,使われない,1,一人暮らしの相手には置き場所まで想像してから選ぶ。消えもの＋小さく残るものの組み合わせが外れにくい,X原稿バンク9,,,
long-distance-morning-delivery,運ぶ,遠距離,間に合わない,1,会えない記念日は当日の午前中着で指定する。夜に届くとその日が終わりかけてから始まる,X原稿バンク10,,,
carry-plan-before-buying,運ぶ,通年,崩れる,1,プレゼントは当日荷物になる。ケーキを持って移動できるか、店に預けられるか。買う前に運び方まで決める,X原稿バンク11,,,
third-year-hardest,決める,3年目,記憶に残らない,2,3年目がいちばん難しい。新しさを足すより、その1年に起きたことを1つ選んで紐づけるほうが早い,X原稿バンク12,,2026-08-31,
avoid-strong-taste-items,選ぶ,通年,使われない,1,好みが強く出るもの（香り・柄・サイズ）は外す。そこは本人が選ぶ楽しみでもある,X原稿バンク13,,,
turn-off-ceiling-light,包む・仕込む,通年,,3,飾りを増やすより天井の照明を消すほうが早い。灯りを下げるだけで空気が変わる,X原稿バンク14,2026-08-31,,
remembering-beats-spending,決める,交際記念日,記憶に残らない,1,「去年より良くしないと」が重くなったら、金額を上げるより「この1年のことを覚えている」と伝わるほうが効く,X原稿バンク15,,,
remind-restaurant-3days,買う・予約する,通年,崩れる,2,店に伝えるのは予約時だけでなく3日前にもう一度。プレートの文言、出すタイミング、苦手なもの,X原稿バンク16,,,
dont-shoot-while-giving,渡す,通年,崩れる,1,渡しながら写真を撮ると両手が塞がってどちらも中途半端になる。撮るなら渡した後,X原稿バンク17,,,
two-hour-limit,買う・予約する,交際記念日,場所が合わない,2,2時間制の店で記念日をやるとコースとプレートと写真でほぼ終わる。ゆっくり話したいなら滞在時間を先に確認する,X原稿バンク18,2026-08-31,,
custom-order-november-deadline,買う・予約する,クリスマス,間に合わない,1,名入れやオーダー品は11月下旬が実質の締切。年内にやるなら11月中に確定させる,X原稿バンク19,,,
same-item-same-time,渡す,会えない日,,1,会えない日は同じものを両方に手配して時間を決めて開ける。同じ体験を同じ時間にするほうが残る,X原稿バンク20,,,
keep-for-next-year,残す,交際記念日,記憶に残らない,1,記念日の記録を残す意味は思い出ではなく翌年の設計材料。大事な日は残さなくても覚えている。去年の写真と手配の内容があると「前と違うこと」から考え始められる,自問自答2026-08-31,,2026-08-31,
new-couple-budget-from-gifts,決める,付き合いたて,,1,付き合いたては好みより金額が読めない。相手からもらったものの値段を調べると、その人が「普通」だと思っている価格帯が分かる,自問自答2026-08-31,,2026-08-31,
cohabit-delivery-reveal,包む・仕込む,同棲,バレる,1,同棲だと配達でバレる。受け取り場所を家にしない（コンビニ受け取り・営業所止め・職場）,自問自答2026-08-31,,,
cohabit-phone-notification,包む・仕込む,同棲,バレる,1,検索履歴より通知が危ない。配送のお知らせと店の予約確認メールがロック画面に出る,自問自答2026-08-31,2026-08-31,,
cohabit-time-alibi,包む・仕込む,同棲,バレる,3,同棲で難しいのは隠す場所より準備の時間。新しい口実を作るより、もともとある習慣を長くするほうがバレない,自問自答2026-08-31,,2026-08-31,
cake-pickup-window,運ぶ,誕生日,崩れる,1,ケーキは受け取りから渡すまでの時間で決まる。夏場は30分を超えると怪しい。受け取り時刻を渡す直前に寄せる,自問自答2026-08-31,,2026-08-31,
day-of-no-time,包む・仕込む,通年,間に合わない,1,当日は思っているより時間がない。当日仕上げるつもりのものはだいたい間に合わない。前日までに終わらせるものを1つ決める,自問自答2026-08-31,2026-08-31,,
bouquet-hard-to-hide,運ぶ,誕生日,バレる,1,花束は隠せない。先に店に預けるか、渡す場所へ直送する,自問自答2026-08-31,,,
after-giving-luggage,渡す,通年,,1,渡した後の移動を考えないと大荷物になる。渡す場所は「そのあとどこへ行くか」から決める,自問自答2026-08-31,,,
