KW,軸,ファネル層,タイトル,ステータス,URL,公開日,リライト日,備考,累計PV,直近28日PV,前28日PV,増減,判定（自動）
記念日 プロデュース オーダーメイド 依頼,記念日代行・サプライズ代行サービス,比較・検討,記念日プロデュースは5種類｜オーダーメイド依頼の料金と流れ,公開,https://anniv.gift/media/kinenbiproduce,2026-09-06,,,0,0,0,,
記念日 レストラン 予約 いつから,記念日デート・レストラン,集客,記念日のレストラン予約はいつから？実は3週間前から,公開,https://anniv.gift/media/whenrestaurantappointment,2026-09-06,,,0,0,0,,
レストラン サプライズ お願い 伝え方,記念日デート・レストラン,課題解決,レストランのサプライズは3日前では遅い｜花は8日前が締切,公開,https://anniv.gift/media/restaurantserprisedeadline,2026-09-06,,,0,0,0,,
プレゼント選び 代行 サービス,記念日代行・サプライズ代行サービス,比較・検討,プレゼント選び代行サービスは5タイプ｜料金相場と選び方,公開,https://anniv.gift/media/presentsrevice,2026-09-06,,,0,0,0,,
記念日 レストラン 選び方 失敗,記念日デート・レストラン,集客,記念日のレストラン選びはどこで失敗する？3段階で整理,公開,https://anniv.gift/media/aniversaryrestaurantfail,2026-09-06,,,2,2,0,,
記念日 サプライズ センスない 選べない 頼みたい,記念日代行・サプライズ代行サービス,課題解決,記念日サプライズはセンスで決まらない！研究が示す答え,公開,https://anniv.gift/media/presentnosense,2026-09-06,,,0,0,0,,
記念日 代行 プラン固定 オーダーメイド 違い,記念日代行・サプライズ代行サービス,比較・検討,記念日代行は3種類｜プラン固定とオーダーメイドの違い,公開,https://anniv.gift/media/kinenbidaiko,2026-09-06,,,0,0,0,,
レストラン ケーキ 持ち込み 料金,記念日デート・レストラン,集客,レストランのケーキ持ち込み料金、総額だと店に頼む方が安い,公開,https://anniv.gift/media/restaurantcake,2026-09-03,,,0,0,0,,
付き合って1年 記念日 プレゼント 相場,記念日ギフト・サプライズ,比較・検討,付き合って1年の記念日プレゼントの相場1〜3万円は高い？,公開,https://anniv.gift/media/1yearaniversity,2026-09-02,,,1,1,0,,
記念日 代行 料金 相場,記念日代行・サプライズ代行サービス,比較・検討,記念日代行の料金相場って結局いくら？4タイプで整理,公開,https://anniv.gift/media/kinenbidaikosouba,2026-09-02,,,1,1,0,,
記念日 ディナー 予算 相場 二人,記念日デート・レストラン,集客,記念日ディナーの予算は二人でいくら？総額2万〜3万円が目安,公開,https://anniv.gift/media/dinnerbudget,2026-09-02,,,1,1,0,,
サプライズ 代行 サービス 比較,記念日代行・サプライズ代行サービス,比較・検討,サプライズ代行サービス比較｜6つのタイプ別の料金相場2026,公開,https://anniv.gift/media/surpriseservice,2026-09-02,,,1,1,0,,
誕生日プレゼント 彼女 予算 相場 社会人,記念日ギフト・サプライズ,比較・検討,彼女の誕生日プレゼント、社会人の予算相場は結局いくら？,公開,https://anniv.gift/media/birthdaypresentcost,2026-08-29,,,20,20,0,,
カップル 記念日 旅行 予算 1泊,記念日デート・レストラン,比較・検討,カップルの記念日旅行（一泊）の予算は2人で9〜13万円,公開,https://anniv.gift/media/travelcost1day,2026-08-29,,,6,6,0,,
